plaintext,ciphertext,cipher_type,key
data science,pmfm eouqzoq,Caesar,12
hello world,ifmmp xpsme,Caesar,1
cryptography,odkbfasdmbtk,Caesar,12
the quick brown fox jumps over the lazy dog,nby kocwe vliqh zir dogjm ipyl nby futs xia,Caesar,20
data science,spip hrxtcrt,Caesar,15
hello world,byffi qilfx,Caesar,20
artificial intelligence,fwynknhnfq nsyjqqnljshj,Caesar,5
hello world,lipps asvph,Caesar,4
data science,gdwd vflhqfh,Caesar,3
machine learning,jxzefkb ibxokfkd,Caesar,23
the quick brown fox jumps over the lazy dog,znk waoiq hxuct lud pasvy ubkx znk rgfe jum,Caesar,6
the quick brown fox jumps over the lazy dog,max jnbvd ukhpg yhq cnfil hoxk max etsr whz,Caesar,19
the quick brown fox jumps over the lazy dog,hvs eiwqy pfckb tcl xiadg cjsf hvs zonm rcu,Caesar,14
data science,xunu mwcyhwy,Caesar,20
data science,byry qagclac,Caesar,24
data science,zwpw oyeajya,Caesar,22
machine learning,uikpqvm tmizvqvo,Caesar,8
artificial intelligence,vmodadxdvg diozggdbzixz,Caesar,21
hello world,rovvy gybvn,Caesar,10
the quick brown fox jumps over the lazy dog,uif rvjdl cspxo gpy kvnqt pwfs uif mbaz eph,Caesar,1
data science,vsls kuawfuw,Caesar,18
hello world,pmttw ewztl,Caesar,8
the quick brown fox jumps over the lazy dog,gur dhvpx oebja sbk whzcf bire gur ynml qbt,Caesar,13
artificial intelligence,evxmjmgmep mrxippmkirgi,Caesar,4
data science,olel dntpynp,Caesar,11
hello world,yvccf nficu,Caesar,17
artificial intelligence,bsujgjdjbm joufmmjhfodf,Caesar,1
hello world,mjqqt btwqi,Caesar,5
artificial intelligence,gxzoloiogr otzkrromktik,Caesar,6
hello world,wtaad ldgas,Caesar,15
machine learning,rfhmnsj qjfwsnsl,Caesar,5
data science,nkdk cmsoxmo,Caesar,10
artificial intelligence,kbdspsmskv sxdovvsqoxmo,Caesar,10
cryptography,mbizdyqbkzri,Caesar,10
cryptography,gvctxskvetlc,Caesar,4
data science,ifyf xhnjshj,Caesar,5
cryptography,xmtkojbmvkct,Caesar,21
data science,byry qagclac,Caesar,24
artificial intelligence,tkmbybvbte bgmxeebzxgvx,Caesar,19
machine learning,kyafglc jcyplgle,Caesar,24
the quick brown fox jumps over the lazy dog,iwt fjxrz qgdlc udm yjbeh dktg iwt apon sdv,Caesar,15
cryptography,bqxosnfqzogx,Caesar,25
hello world,wtaad ldgas,Caesar,15
data science,byry qagclac,Caesar,24
data science,wtmt lvbxgvx,Caesar,19
the quick brown fox jumps over the lazy dog,qeb nrfzh yoltk clu grjmp lsbo qeb ixwv ald,Caesar,23
data science,pmfm eouqzoq,Caesar,12
machine learning,vjlqrwn unjawrwp,Caesar,9
hello world,nkrru cuxrj,Caesar,6
machine learning,vjlqrwn unjawrwp,Caesar,9
data science,urkr jtzvetv,Caesar,17
the quick brown fox jumps over the lazy dog,xli uymgo fvsar jsb nyqtw sziv xli pedc hsk,Caesar,4
data science,czsz rbhdmbd,Caesar,25
the quick brown fox jumps over the lazy dog,xli uymgo fvsar jsb nyqtw sziv xli pedc hsk,Caesar,4
the quick brown fox jumps over the lazy dog,hvs eiwqy pfckb tcl xiadg cjsf hvs zonm rcu,Caesar,14
machine learning,nbdijof mfbsojoh,Caesar,1
data science,nkdk cmsoxmo,Caesar,10
the quick brown fox jumps over the lazy dog,cqn zdrlt kaxfw oxg sdvyb xena cqn ujih mxp,Caesar,9
artificial intelligence,bsujgjdjbm joufmmjhfodf,Caesar,1
machine learning,xlnstyp wplcytyr,Caesar,11
artificial intelligence,lcetqtntlw tyepwwtrpynp,Caesar,11
cryptography,pelcgbtencul,Caesar,13
hello world,nkrru cuxrj,Caesar,6
machine learning,sginotk rkgxtotm,Caesar,6
machine learning,sginotk rkgxtotm,Caesar,6
the quick brown fox jumps over the lazy dog,jxu gkysa rhemd ven zkcfi eluh jxu bqpo tew,Caesar,16
cryptography,apwnrmepynfw,Caesar,24
the quick brown fox jumps over the lazy dog,bpm ycqks jzwev nwf rcuxa wdmz bpm tihg lwo,Caesar,8
data science,xunu mwcyhwy,Caesar,20
cryptography,dszquphsbqiz,Caesar,1
data science,ifyf xhnjshj,Caesar,5
artificial intelligence,izbqnqkqit qvbmttqomvkm,Caesar,8
machine learning,rfhmnsj qjfwsnsl,Caesar,5
artificial intelligence,yprgdgagyj glrcjjgeclac,Caesar,24
hello world,vszzc kcfzr,Caesar,14
data science,spip hrxtcrt,Caesar,15
machine learning,qeglmri pievrmrk,Caesar,4
hello world,olssv dvysk,Caesar,7
data science,khah zjplujl,Caesar,7
artificial intelligence,ofhwtwqwoz wbhszzwusbqs,Caesar,14
the quick brown fox jumps over the lazy dog,rfc osgai zpmul dmv hsknq mtcp rfc jyxw bme,Caesar,24
the quick brown fox jumps over the lazy dog,dro aesmu lbygx pyh tewzc yfob dro vkji nyq,Caesar,10
hello world,dahhk sknhz,Caesar,22
machine learning,kyafglc jcyplgle,Caesar,24
data science,vsls kuawfuw,Caesar,18
machine learning,cqsxydu buqhdydw,Caesar,16
data science,jgzg yioktik,Caesar,6
machine learning,ocejkpg ngctpkpi,Caesar,2
cryptography,vkrimhzktiar,Caesar,19
the quick brown fox jumps over the lazy dog,jxu gkysa rhemd ven zkcfi eluh jxu bqpo tew,Caesar,16
machine learning,iwydeja hawnjejc,Caesar,22
artificial intelligence,qhjyvysyqb ydjubbywudsu,Caesar,16
machine learning,drtyzev cvriezex,Caesar,17
data science,zwpw oyeajya,Caesar,22
artificial intelligence,evxmjmgmep mrxippmkirgi,Caesar,4
hello world,uryyb jbeyq,Caesar,13
data science,pmfm eouqzoq,Caesar,12
data science,hexe wgmirgi,Caesar,4
artificial intelligence,xoqfcfzfxi fkqbiifdbkzb,Caesar,23
data science,nkdk cmsoxmo,Caesar,10
hello world,byffi qilfx,Caesar,20
the quick brown fox jumps over the lazy dog,hvs eiwqy pfckb tcl xiadg cjsf hvs zonm rcu,Caesar,14
cryptography,pelcgbtencul,Caesar,13
hello world,khoor zruog,Caesar,3
machine learning,wkmrsxo vokbxsxq,Caesar,10
data science,yvov nxdzixz,Caesar,21
data science,olel dntpynp,Caesar,11
cryptography,rgneidvgpewn,Caesar,15
artificial intelligence,yprgdgagyj glrcjjgeclac,Caesar,24
data science,qngn fpvrapr,Caesar,13
data science,tqjq isyudsu,Caesar,16
data science,ifyf xhnjshj,Caesar,5
the quick brown fox jumps over the lazy dog,gur dhvpx oebja sbk whzcf bire gur ynml qbt,Caesar,13
hello world,uryyb jbeyq,Caesar,13
hello world,gdkkn vnqkc,Caesar,25
artificial intelligence,gxzoloiogr otzkrromktik,Caesar,6
data science,czsz rbhdmbd,Caesar,25
artificial intelligence,pgixuxrxpa xcitaaxvtcrt,Caesar,15
cryptography,mbizdyqbkzri,Caesar,10
cryptography,rgneidvgpewn,Caesar,15
cryptography,dszquphsbqiz,Caesar,1
artificial intelligence,vmodadxdvg diozggdbzixz,Caesar,21
cryptography,shofjewhqfxo,Caesar,16
the quick brown fox jumps over the lazy dog,znk waoiq hxuct lud pasvy ubkx znk rgfe jum,Caesar,6
the quick brown fox jumps over the lazy dog,rfc osgai zpmul dmv hsknq mtcp rfc jyxw bme,Caesar,24
data science,xunu mwcyhwy,Caesar,20
cryptography,ncjaezrclasj,Caesar,11
hello world,vszzc kcfzr,Caesar,14
the quick brown fox jumps over the lazy dog,aol xbpjr iyvdu mve qbtwz vcly aol shgf kvn,Caesar,7
hello world,khoor zruog,Caesar,3
the quick brown fox jumps over the lazy dog,xli uymgo fvsar jsb nyqtw sziv xli pedc hsk,Caesar,4
cryptography,lahycxpajyqh,Caesar,9
the quick brown fox jumps over the lazy dog,lzw imauc tjgof xgp bmehk gnwj lzw dsrq vgy,Caesar,18
machine learning,guwbchy fyulhcha,Caesar,20
artificial intelligence,izbqnqkqit qvbmttqomvkm,Caesar,8
machine learning,ymotuzq xqmdzuzs,Caesar,12
cryptography,hwduytlwfumd,Caesar,5
the quick brown fox jumps over the lazy dog,lzw imauc tjgof xgp bmehk gnwj lzw dsrq vgy,Caesar,18
data science,axqx pzfbkzb,Caesar,23
data science,pmfm eouqzoq,Caesar,12
artificial intelligence,rikzwztzrc zekvcczxvetv,Caesar,17
data science,gdwd vflhqfh,Caesar,3
machine learning,drtyzev cvriezex,Caesar,17
data science,jgzg yioktik,Caesar,6
cryptography,fubswrjudskb,Caesar,3
data science,mjcj blrnwln,Caesar,9
data science,ebub tdjfodf,Caesar,1
the quick brown fox jumps over the lazy dog,sgd pthbj aqnvm enw itlor nudq sgd kzyx cnf,Caesar,25
artificial intelligence,evxmjmgmep mrxippmkirgi,Caesar,4
cryptography,rgneidvgpewn,Caesar,15
artificial intelligence,ctvkhkekcn kpvgnnkigpeg,Caesar,2
the quick brown fox jumps over the lazy dog,qeb nrfzh yoltk clu grjmp lsbo qeb ixwv ald,Caesar,23
data science,roho gqwsbqs,Caesar,14
data science,jgzg yioktik,Caesar,6
data science,vsls kuawfuw,Caesar,18
the quick brown fox jumps over the lazy dog,rfc osgai zpmul dmv hsknq mtcp rfc jyxw bme,Caesar,24
data science,pmfm eouqzoq,Caesar,12
the quick brown fox jumps over the lazy dog,esp bftnv mczhy qzi ufxad zgpc esp wlkj ozr,Caesar,11
cryptography,pelcgbtencul,Caesar,13
artificial intelligence,vmodadxdvg diozggdbzixz,Caesar,21
the quick brown fox jumps over the lazy dog,xli uymgo fvsar jsb nyqtw sziv xli pedc hsk,Caesar,4
artificial intelligence,ctvkhkekcn kpvgnnkigpeg,Caesar,2
machine learning,vjlqrwn unjawrwp,Caesar,9
machine learning,iwydeja hawnjejc,Caesar,22
artificial intelligence,yprgdgagyj glrcjjgeclac,Caesar,24
data science,pmfm eouqzoq,Caesar,12
the quick brown fox jumps over the lazy dog,qeb nrfzh yoltk clu grjmp lsbo qeb ixwv ald,Caesar,23
cryptography,hwduytlwfumd,Caesar,5
hello world,ebiil tloia,Caesar,23
the quick brown fox jumps over the lazy dog,rfc osgai zpmul dmv hsknq mtcp rfc jyxw bme,Caesar,24
machine learning,thjopul slhyupun,Caesar,7
artificial intelligence,zqshehbhzk hmsdkkhfdmbd,Caesar,25
data science,xunu mwcyhwy,Caesar,20
the quick brown fox jumps over the lazy dog,wkh txlfn eurzq ira mxpsv ryhu wkh odcb grj,Caesar,3
artificial intelligence,xoqfcfzfxi fkqbiifdbkzb,Caesar,23
machine learning,lzbghmd kdzqmhmf,Caesar,25
data science,fcvc uekgpeg,Caesar,2
data science,mjcj blrnwln,Caesar,9
data science,fcvc uekgpeg,Caesar,2
machine learning,sginotk rkgxtotm,Caesar,6
data science,ebub tdjfodf,Caesar,1
data science,roho gqwsbqs,Caesar,14
the quick brown fox jumps over the lazy dog,vjg swkem dtqyp hqz lworu qxgt vjg ncba fqi,Caesar,2
hello world,dahhk sknhz,Caesar,22
cryptography,shofjewhqfxo,Caesar,16
artificial intelligence,rikzwztzrc zekvcczxvetv,Caesar,17
the quick brown fox jumps over the lazy dog,gur dhvpx oebja sbk whzcf bire gur ynml qbt,Caesar,13
hello world,olssv dvysk,Caesar,7
artificial intelligence,ofhwtwqwoz wbhszzwusbqs,Caesar,14
cryptography,wlsjnialujbs,Caesar,20
hello world,lipps asvph,Caesar,4
artificial intelligence,mdfuruoumx uzfqxxusqzoq,Caesar,12
the quick brown fox jumps over the lazy dog,esp bftnv mczhy qzi ufxad zgpc esp wlkj ozr,Caesar,11
machine learning,wkmrsxo vokbxsxq,Caesar,10
machine learning,xlnstyp wplcytyr,Caesar,11
artificial intelligence,tkmbybvbte bgmxeebzxgvx,Caesar,19
artificial intelligence,evxmjmgmep mrxippmkirgi,Caesar,4
data science,vsls kuawfuw,Caesar,18
the quick brown fox jumps over the lazy dog,lzw imauc tjgof xgp bmehk gnwj lzw dsrq vgy,Caesar,18
hello world,wtaad ldgas,Caesar,15
artificial intelligence,ulnczcwcuf chnyffcayhwy,Caesar,20
the quick brown fox jumps over the lazy dog,uif rvjdl cspxo gpy kvnqt pwfs uif mbaz eph,Caesar,1
data science,fcvc uekgpeg,Caesar,2
hello world,yvccf nficu,Caesar,17
machine learning,sginotk rkgxtotm,Caesar,6
machine learning,jxzefkb ibxokfkd,Caesar,23
machine learning,ymotuzq xqmdzuzs,Caesar,12
artificial intelligence,jacrorlrju rwcnuurpnwln,Caesar,9
artificial intelligence,lcetqtntlw tyepwwtrpynp,Caesar,11
the quick brown fox jumps over the lazy dog,jxu gkysa rhemd ven zkcfi eluh jxu bqpo tew,Caesar,16
artificial intelligence,hyapmpjphs pualsspnlujl,Caesar,7
