plaintext,ciphertext,key,cipher_type
bgtepohnemabytblcnai,otgrcbuarznolgoypanv,None,ROT13
ngehwhuccrumymsjqaqv,gjztguagjnbgaojdcycn,tdvmk,Autokey
bkgfihaogxgajncplaxy,jsonqpiwofoirvkxtifg,8,Caesar
nqqvbbcoabrwietqi  k,fmmpddoqsdxacktmc  y,"(11, 18)",Affine
suajsuncutkprpykl up,fvryfvehvatukubto vu,"(21, 17)",Affine
rlolpzrop fjkmfiqqko,hbebfphef vzacvyggae,16,Caesar
cwvdeuukpskwjfqhvhhy,pjiqrhhxcfxjwsduiuul,None,ROT13
esyqluknkaqiubnablpr,xlrjendgdtjbnugtueik,19,Caesar
cmlfe dmjyoggtjvfejg,whtgf xhrzpabbkwzzrh,uvibb,Vigenère
yakeojc qscenvxxuerh,fvgsdqx mgrlirlmbznv,hvwop,Vigenère
ucofrgnhfjcjvscdopit,hpbsetauswpwifpqbcvg,None,ROT13
xqstjsfluqoqpzqjudvn,fyabrantcywyxhyrcldv,8,Caesar
zgqgulnabwcejboptbml,qkxfpcrhartiqajgxilg,rehzv,Vigenère
xnvtikzphfozejmfhvjg,qgombdsiayhsxcfyaocz,19,Caesar
xnwtfocvejxffxtpjqje,jfhgvseorijvvjgdiair,ckewrvxqtibupfsdaymgnohjzl,Substitution
eztgusazibefvvskqxhk,hdpnewzsovwfudtovscc,dewhk,Autokey
lllzlnyjyhnxsprxyfzv,ffftfhsdsbhrmjlrsztp,"(1, 20)",Affine
fjckzhshfiqcnxrctuoj,gvrjaiewejrocwsdfjnk,bmpzb,Vigenère
bhnwqrjuvihfxwxjkupv,bjxphrufwuvnqvhxkwij,4,Rail Fence
urpefpgosnhlafeggunq,czxmnxowavptinmoocvy,8,Caesar
exxdsu vwzmatsalqwpn,jniifykszrgnoozxqphn,fqlfn,Autokey
espscxjyhkcbwhetxyfn,rfcfpkwluxpojurgklsa,None,ROT13
kezfsbinthrzgfypuwdm,pvauhyrmgsiatubkfdwn,None,Atbash
siitzvwbusycfidtlzwi,pffqwstyrpvzcfaqiwtf,23,Caesar
i ekknbnomqlt gpgogz,mtxhcvorywdmgbsfrhtf,egtxs,Autokey
faonicgww lhbjsmvfhs,foigwlbsvhancw hjmfs,2,Rail Fence
m br puaapxximuplmos,z oe chnnckkvzhcyzbf,None,ROT13
lsdnppoldohytigmnfdg,tinbjjstnsdgzumkbvnm,"(17, 14)",Affine
nhgxn srmhpznshbhwrq,mstcm hinskamhsysdij,None,Atbash
cmopkcrhnd aotwrzb  ,pzbcxpeuaq nbgjemo  ,None,ROT13
kvwporrwfqclyjohrbqg,bgjzeicjpgtwlteycoaw,rlnkq,Vigenère
jvrfmswstr exqowkhqm,qeiunhdhgi vcjldpsjn,None,Atbash
onzol lrdpiwpcplijwv,lmalo oiwkrdkxkorqde,None,Atbash
lmjtafbxafmbunmsycnl,yzwgnsoknszohazflpay,None,ROT13
tmrinpanynx pn tcgqo,pinejlwjujt lj pycmk,22,Caesar
ttd morysxrqvlaeebzd,mmw fhkrlqkjoetxxusw,19,Caesar
awskuxdonndmmtobgyht,njfxhkqbaaqzzgbotlug,None,ROT13
rpubrnnghdajnenuyile,qlafqjjkzmybjwjaehnw,yfumwgkzhbvndjslrqxcaitoep,Substitution
iyeaxhiidjbkborcclob,tzldkettwisxsfyhhmfs,"(15, 3)",Affine
 tvsfsqnrmtgq rrfwwh, pjsfsyhvkpcy vvfggz,"(23, 20)",Affine
eissjngvxslezvcxumuh,pnbevylejewjihoizvgt,lfjmm,Vigenère
sgwa diwgvdvwxremrbx,ppgz bffqubsfhqcjalw,xjkzy,Vigenère
kqhnoiacpbyhfffcqwqb,pjsmlrzxkybsuuuxjdjy,None,Atbash
nkeffghixbmhxpgoyejt,ijeirtrmcgsofmhafbyz,vzadm,Autokey
g utaomiktbwzllvyaoo,e srymkgirzuxjjtwymm,24,Caesar
gjohhffgv rrupyvwomc,oxlbtntdp dzimshecjw,ioxum,Vigenère
qpfzvxfzvam rtbeskxc,utjdzbjdzeq vxfiwobg,4,Caesar
vhybslqylyee  vhtccc,gkrsawvrwruu  gktyyy,dsynuomkfziwpxjcvqateghlrb,Substitution
acwylbvipaukejetirpi,zbvxkauhoztjdidshqoh,25,Caesar
waffheuojfjcpgfgesdb,voyyqraclylewdydrinj,ojenrydqzlbmsgcwptixauvkhf,Substitution
tgcwnknhcrplylvpxcra,tcxghrpccnpvrwkllany,5,Rail Fence
i ypsqwitkrnzrpwzwhu,a pmxtoabzdfvdmovoul,ekyqhcwuanzjrfgmtdxblsoipv,Substitution
iuaxnifcjmdknmghavrc,ioejrinspkzwrkubevts,"(7, 4)",Affine
qqd kqbtftmmxkrhp yj,rfucwgrwsdcnqpktbkia,bprpm,Autokey
fwnnwymufzlkuzhlxskx,sjaajlzhsmyxhmuykfxk,None,ROT13
vrhusfizjggmhq acmvl,qscbcajuqqbncx kxnqs,vbvhk,Vigenère
ffzvwtqbpopqrzfewnwm,sskwtcleoroliksvtutx,"(23, 7)",Affine
djcckejvjxicgpsnuhyo,ucvvbdcecsxvrwlhyifa,zmvudkrixcbgnhawpoljyeqsft,Substitution
g vtrpvuarrobauaeizr,podpyviptigjvalrsjzl,jbiwh,Autokey
qdtdcxlgryfe qikyvdo,ql ddxgeqvotcrfiydyk,4,Rail Fence
rnoveutwpnsxtycihhpb,lqkmoowsgxmappmckdgl,udwrk,Vigenère
krkymhhwsfpduul ez w,szsguppeanxlcct mh e,8,Caesar
dtvhdojvlxckuzftriwj,pjthpqktxamfbdijwglk,srmpzivhgkfxunqcewojbtlayd,Substitution
lvtamwesikvnudzlutxg,oegzndvhrpemfwaofgct,None,Atbash
jbulkkdlmflunj cyrzf,jmyblfcrudl zlkujfkn,5,Rail Fence
eowbegozevjnqcytzmdi,rbjortbmriwadplgmzqv,None,ROT13
gjaujsowlcgqhlvsnkht,tqzfqhldoxtjsoehmpsg,None,Atbash
aslosgzzbnhgyjxnpsjq,isrblgrkpfnfxkkuvqsn,iagnt,Autokey
bhhbasafdis ocgczcel,djjdcuchfku qeiebegn,2,Caesar
tcxxegkncokxeikjkcxk,hogvyuwwaiyjngexwlve,omjyu,Vigenère
iqbhbhwiyvtdpsqwkabp,vdououjvligqcfdjxnoc,None,ROT13
ikllnwneypxnmrk qqsj,vxyyajarlckazex ddfw,None,ROT13
kx stfebiphnzlktznph,xk fgsrovcuamyxgmacu,None,ROT13
ojoxpq zxlvghyxwtqhx,bwbkcd mkyitulkjgduk,None,ROT13
vlmgjoimvdekvuyqv dx,nlgkvwagnzuqnsymn zd,"(21, 14)",Affine
bwdzegoxdyuehudqobea,ydwavtlcwbfvsfwjlyvz,None,Atbash
fykiuunj tacdjoqgbzd,etzkttiy vzbyyqpfwof,zvpcz,Vigenère
 qilnuwtbgxbltmkfdbn, jromfdgytcyognpuwym,None,Atbash
mbjwaxtwziesjt dbngl,arvgujufviblfsvhtwzy,oqmku,Autokey
mkkz qolpdwhxwhxnutg,zxxm dbycqjukjukahgt,None,ROT13
i wpvog ljlqettodhoi,ild  johwgltopoqtive,5,Rail Fence
lzgznflzpsghiiqiiwqb,nxcxhfnxbsczwwywwgyr,"(23, 20)",Affine
nmmffgxcjlbc yofxmkc,azzsstkpwyop lbskzxp,None,ROT13
scvlbxxpvcegqeflzurh,fpiyokkciprtdrsymheu,None,ROT13
xx afiontlcsoaxihic ,cc zurlmgoxhlzcrsrx ,None,Atbash
nfbrvtcxjfqgmsxvaajk,nbvcjqmxajfrtxfgsvak,2,Rail Fence
gelzgdpgjovhnwnpyrkq,trymtqctwbiuajaclexd,None,ROT13
iih ndevopfyhvsuxdax,rrs mwvelkubsehfcwzc,None,Atbash
tutxkrs j shprpuopud,eterwmk u kfgmgtqgti,ohsicnjfpuwxlvqgymketzardb,Substitution
wzmihdqcjahdfvcpfmhq,jmzvuqdpwnuqsipcszud,None,ROT13
dehtlxhrydjymdelbrbx,wvsgocsibwqbnwvoyiyc,None,Atbash
edxskheuvgiof hjcwdj,vwchpsvfetrlu sqxdwq,None,Atbash
abs rcfwginmfzlehobt,sctelcgotzprbftrttae,sbbru,Autokey
aniuvhbdmdufxmucwkbq,navhiuoqzqhskzhpjxod,None,ROT13
rvhoxlnbxov jgocqdnu,cgsziwymizg urznboyf,11,Caesar
 ylxt ryaeswciljuxyy, lykg elnrfjpvywhkll,None,ROT13
szmi dwvlpfootehgu f,fmzv qjiycsbbgruth s,None,ROT13
zpxfyacinncw lmldkyq,akcubzxrmmxd onowpbj,None,Atbash
jiiyzsxcoomtmrybluwi,ptxjrbfkmneqofmnegng,glpls,Autokey
 xxkaepftslnezzlyuni, eerhlwmazsulggsfbup,7,Caesar
ujprbwfyomwyvrfiqicr,mbhjtoxqgeoqnjxaiauj,18,Caesar
ggixjrl cojzwgflwtal,ttrcqio xlqadtuodgzo,None,Atbash
qbpqpvvi zjtqakhjshp,gltculfm lojaewmzclb,qkemf,Vigenère
pjcjrzokxmkhtbiwbqgf,cdtegoxmgdjvdyugijhn,nurvp,Autokey
chn zbuxcpxv ozkigor,cxsnsdbkpoypkqohdtcq,aqfat,Autokey
hybfu hznztlqrpqwarc,hhqry zlracbuntpwfzq,4,Rail Fence
tcdinggagauorqupvzpq,jqlmnwwawaeityedzfdy,"(21, 0)",Affine
ogswhhhdljkodfomuvpj,ldpteeeaighlacljrsmg,23,Caesar
ognvuegbkuljvcphbdwi,slwpoilkeopoewjlgmqc,efjuu,Vigenère
quiex sncptnhrkt hwf,vurhgdmvgmgfutzmaonp,fajdj,Autokey
tfuiyrqsxvbjk plvnkp,tuyqxbkpvkfirsvj lnp,2,Rail Fence
suadtryvtnndkju peix,fhnqgeligaaqxwh crvk,None,ROT13
xrcryxlofwrqqqdvzwjh,xyfqzrrxowqqvwhclrdj,3,Rail Fence
gonpy sktxaklxcojvix,dvwnm prcvohsgacgcrv,xhjyo,Vigenère
mwzxig kgrnur xeakwv,qsdnku aurlcr neyasx,"(21, 24)",Affine
hilwadmgzitkvsycholi,incfzohdunqxalpjircn,"(5, 25)",Affine
apzmsxeiczmcsqdcvwxz,aesxpxicqwzzscmdvmzc,4,Rail Fence
lsthtzyapzld smgrqbb,fvjyzkqtwskbnhlrudtn,udqrg,Autokey
pqsooljogdzvduna xxd,ecnaapvafxwdxzsu ttx,ujhxikfogvrpqsaeclnyzdmtbw,Substitution
lxairw arugpdjpcwmzg,hrayzo azistjbtgokxs,"(3, 0)",Affine
illjziwzhkruukyskzfv,bpaieqhkqjzqtrijetpt,tepzf,Autokey
tgkpluejknupqtadyesb,clfxwnzhfunxecisbzrm,impszqlyahfwoujxekrcndtvbg,Substitution
df ucrwaoshxjpgdeiph,qa xlihbtnkmuyfqvpyk,"(5, 1)",Affine
lsydwlryyphaagrqueih,ovbgzoubbskddjutxhlk,"(1, 3)",Affine
mmkepyxzvetyrjcntawq,hhotlwprxtmwsgfjmecq,eafbtvinygodhjzlqskmuxcpwr,Substitution
trshdegzjmvabndzbbjs,gefuqrtmwzinoaqmoowf,None,ROT13
eastho ai mjmjdohuip,dauign ak biljfdgtir,zacpz,Vigenère
etqupapqsigiiagynsys,qznhpeigmxgxysoevayy,mgxna,Autokey
yrrlkoendtcy kpyos o,yuuoidepbmty ihydk d,fctbergqwnioxpdhaukmjszvyl,Substitution
ekq x axvzjex iaegho,vpx n soagzwo nhuyyt,rfhqs,Vigenère
qfvvrfecziyvicykmosr,dsiiesrpmvlivplxzbfe,None,ROT13
zlkzbgdkqldfsownsqoj,smtsevqtdmqcprnypdra,"(19, 11)",Affine
urzmrell mzwmuylmsdj,fianivoo nadnfbonhwq,None,Atbash
uzlfaj kkejkvjhihdjb,hmysnw xxrwxiwuvuqwo,None,ROT13
gnaztnoqmocqkqcualjl,xmwibenmvwtpgzklzhst,rzwji,Vigenère
lxayl qk ymsctqlokkq,l oxkylkaqmqky stqlc,5,Rail Fence
ejpoxqfzynhpswuhcelj,eycjznhepfhuloqpwjxs,5,Rail Fence
zxxpjqtxmlzfctm djhg,xikqxpqubupyzfxmilas,ylnbo,Autokey
qtwnfxrtuvup tccpwaq,glnpsfylwcwi lkkintg,tokresjmxhadqpbigyvlwcnfzu,Substitution
jvjycboarnxkwhjpehnq,mhwdjkjjppyywywmoduz,dmnfh,Autokey
ljkfuldqnsvxxugiy wz,vcqeawmasmganhydvkqf,ktgzg,Autokey
auplyqwubfht ojeelbc,qvxzoltvigju rcbbzif,qifnbgkjdcwzparxlehuvytsom,Substitution
v qveazbuklsgralbw g,k eyyjopxeuhuuuuqk j,poduj,Vigenère
xvyjhbjwbolalxrvi  w,kilwuowjobynykeiv  j,None,ROT13
irsrjkovbgwpvtnheehp,jstsklpwchxqwuoiffiq,1,Caesar
zjkvtbyyheeecapsabgs,uhkwevqqpaaagljnlvin,lvgyazipdhkocrmjftnebwxsqu,Substitution
p fzvqwcpkqwhedemtyh,pvphm zqckweethfwqdy,3,Rail Fence
b qtqooczcyvkuveeypc,o dgdbbpmplixhirrlcp,None,ROT13
a liugkpoeyevbebnoiv,z khtfjondxduadamnhu,25,Caesar
gzwaatcvhgsfquyceqop,tmjnngpiutfsdhlprdbc,None,ROT13
ucmkqthgvaoqnwetiqzy,umqhvoneizcktgaqwtqy,2,Rail Fence
bsvwnzatatpmdpkphsal,yhedmazgzgknwkpkshzo,None,Atbash
habaufeoeyxvuoltzsun,unonhsrbrlkihbygmfha,None,ROT13
zwffcnvivdsapsdogcxl,crqcfqqtsgvvapgrbnuo,dvlxd,Vigenère
l lcrimfvkblwmtbbafv,j jezlvnfkhjcvahhpnf,phesonuilykjvgdqwzratfcbmx,Substitution
  wolnnvfiuqxebokmhi,mtoblaartthdsjjiajlj,zgsna,Autokey
ofayylknyapndcinibsz,hcfbbozsbfwsyjvsvupq,"(15, 5)",Affine
ypratpdcy jalwo ldyx,bkizgkwxb qzodl owbc,None,Atbash
x czaaskhqsvwwzskcyp,c heffxpmvxabbexphdu,5,Caesar
pqvlcjo inifvllprzhx,pvcoiivlrhqlj nflpzx,2,Rail Fence
rsp plofazjdahrmdygf,bcv smypgcknknunnimi,kkgdb,Vigenère
ajrqlptk srfbqdzxlrn,ebuxppcbddgyldvqcmhq,esdhe,Autokey
yltkhzqswifngelq icl,ylpejfuikqvzcolu qal,"(7, 12)",Affine
gyrvbsezwkztxi xiwvw,tleiofrmjxmgkv kvjij,None,ROT13
hmvsvegt jcogmecpkpv,gojaolsofeguzznedqbz,zcoit,Autokey
pczpgbhvvurcmysjxrtu,luoipqjukasjhtmazdrm,wsptj,Autokey
nkwkdnqepapuferqjkoj,ysrsqygejhjodeagfsvf,hclqedbnifsmuyvjgaxpowrkzt,Substitution
dz qopjaprbfoipogwzx,pf qokxbkveuohkonlfw,bemptunahxrszjokqvgicylwdf,Substitution
nccosdeakszhanrqnyqj,mxxlhwvzphaszmijmbjq,None,Atbash
 kyzl kpnvbpjlflle g, yemr yzobazcrurrk j,wasxkujlqcyrfopztnghvbdiem,Substitution
werksncwmalbcuwjuqmy,dviphmxdnzoyxfdqfjnb,None,Atbash
zsoxdvrajiqkzihjf lm,ahlcweizqrjparsqu on,None,Atbash
l trewbftguaylqlopvm,letyo rwfgallpmtbuqv,3,Rail Fence
fuvqlbsbtuunkbkpjlsz,lufcztytjuuvotordzyx,"(11, 8)",Affine
umowt eownerhwrwkwwi,hpexj rrmouekmsmxzmj,ndqbq,Vigenère
peznrofrywtpblmoewpe,pyeerwowzftmpnoplerb,5,Rail Fence
wyn gfxodmqtiowlcjtv,jla tskbqzdgvbjypwgi,None,ROT13
 aiujxakqrweijlmlchi, nvhwknxdejrvwyzypuv,None,ROT13
wqvtuw elvewldjlsvrh,movnem shvsmhbzhwvfr,"(17, 2)",Affine
kxtjbqjmesuedlttfwmq,ajxcdbczoyvotexxpnzb,gdrtopsuicaezhfkbmyxvlnjqw,Substitution
qfrybavvllunmbatlwje,dseloniiyyhazongyjwr,None,ROT13
kehmsjcvbqbpmsgrbrkn,ztwbhyrkqfqebhvgqgzc,15,Caesar
hdncuffozrvbrtevhxay,kgqfxiircuyeuwhykadb,3,Caesar
umevrfnxn nauljewaxn,hzriesaka anhywrjnka,None,ROT13
bhdcxrslgqnasnonuelx,vyhifljpmyhrwtwhlirf,uregi,Vigenère
aeyvatkvgrbzlok bjrw,ricdrntdvjkxolt kbjp,rkqwihvmubtoyalgzjensdpfcx,Substitution
npzagvfknqsgfewshwvt,ankibidvvlfeqmrffhdo,nyliv,Vigenère
jlutdck xzrz cyudsqw,zyzoflvhqctjazxlcfsu,qnfvc,Autokey
ckoqwjyrthfjioopikpv,pxbdjwleguswvbbcvxci,None,ROT13
